AQW00061705         825C
USC00031632         381S
USC00031730         445S
USC00031838         422S
USC00031900         355S
USC00031948         429S
USC00031962         447S
USC00031968         418S
USC00032148         448S
USC00032355         468S
USC00032356         380S
USC00032366         388R
USC00032444         384R
USC00032540         425S
USC00032794         383S
USC00032930         392S
USC00032962         385R
USC00032978         393S
USC00033132         383Q
USC00033242         427R
USC00033428         438S
USC00033466         427S
USC00033544         394S
USC00033734         381S
USC00033821         407S
USC00033862         434S
USC00033909         365Q
USC00034106         352S
USC00034134         424S
USC00034185         452R
USC00034528         400Q
USC00034548         447S
USC00034562         423S
USC00034572         359S
USC00034638         420C
USC00034666         382R
USC00034711         401Q
USC00034756         405R
USC00034938         400S
USC00034988         402S
USC00035018         391R
USC00035036         376R
USC00035046         391R
USC00035079         417S
USC00035112         447S
USC00035186         393C
USC00035200         407R
USC00035376         453R
USC00035508         394R
USC00035512         393R
USC00035563         387C
USC00035754         436R
USC00035820         371S
USC00035831         388Q
USC00035866         440S
USC00035908         424S
USC00036174         457Q
USC00036253         442S
USC00036376         432R
USC00036403         358Q
USC00036506         401S
USC00036562         424S
USC00036768         425R
USC00036920         421S
USC00036928         407S
USC00037488         402S
USC00037582         441S
USC00037712         412S
USC00038010         391Q
USC00038052         398S
USC00038084         386R
USC00040029         356R
USC00040136         539R
USC00040161         318R
USC00040192         593R
USC00040212         467S
USC00040232         479S
USC00040343         477S
USC00040379         459S
USC00040383         471S
USC00040436         501R
USC00040444         483Q
USC00040449         461S
USC00040521         478R
USC00040673         496S
USC00040693         512R
USC00040738         431R
USC00040741         344S
USC00040755         411Q
USC00040790         515R
USC00040924         549S
USC00040931         279S
USC00040943         232S
USC00040983         566S
USC00041018         372R
USC00041048         565R
USC00041072         262S
USC00041214         325R
USC00041244         477S
USC00041253         527S
USC00041277         364C
USC00041312         488R
USC00041316         365C
USC00041428         474S
USC00041476         311R
USC00041484         542R
USC00041497         331S
USC00041534         509Q
USC00041606         375R
USC00041614         315S
USC00041697         392S
USC00041700         316R
USC00041715         467R
USC00041738         529Q
USC00041754         403Q
USC00041758         571R
USC00041806         442R
USC00041838         493S
USC00041864         489C
USC00041912         437S
USC00041948         477R
USC00041967         502R
USC00042012         473S
USC00042081         435S
USC00042147         469S
USC00042214         565R
USC00042239         403R
USC00042294         474S
USC00042319         548S
USC00042331         345R
USC00042338         415R
USC00042402         432R
USC00042410         548Q
USC00042456         454R
USC00042467         290S
USC00042500         396S
USC00042506         343R
USC00042574         407S
USC00042598         558S
USC00042640         445R
USC00042671         314R
USC00042706         559R
USC00042709         558R
USC00042713         576S
USC00042728         466R
USC00042771         444S
USC00042805         528R
USC00042863         560R
USC00042934         484S
USC00042941         458R
USC00043083         488R
USC00043113         484R
USC00043157         316S
USC00043161         465S
USC00043191         502R
USC00043244         510R
USC00043256         487R
USC00043261         484R
USC00043384         441Q
USC00043392         581Q
USC00043417         502S
USC00043463         426S
USC00043489         587R
USC00043551         353S
USC00043573         432R
USC00043578         477C
USC00043647         439R
USC00043669         419R
USC00043710         463S
USC00043714         506R
USC00043747         466S
USC00043824         353S
USC00043855         536S
USC00043875         496S
USC00043882         522Q
USC00043896         536R
USC00043914         446S
USC00043939         391S
USC00044025         499R
USC00044176         347R
USC00044211         427S
USC00044223         563C
USC00044232         428S
USC00044259         591R
USC00044278         466S
USC00044297         570S
USC00044303         573Q
USC00044374         320R
USC00044405         489Q
USC00044412         449Q
USC00044500         492S
USC00044523         463R
USC00044534         478Q
USC00044555         511S
USC00044577         448R
USC00044647         558R
USC00044671         371S
USC00044712         485R
USC00044713         349R
USC00044735         579R
USC00044838         328S
USC00044881         313R
USC00044890         488C
USC00044957         487R
USC00044997         488S
USC00045026         279S
USC00045032         482R
USC00045064         531R
USC00045118         486S
USC00045120         483R
USC00045123         492S
USC00045233         467S
USC00045280         281R
USC00045311         319S
USC00045360         467S
USC00045378         467S
USC00045385         491R
USC00045449         367R
USC00045502         567R
USC00045532         473S
USC00045679         328S
USC00045721         465C
USC00045756         461S
USC00045790         592R
USC00045795         513S
USC00045802         503R
USC00045853         511Q
USC00045866         551R
USC00045892         396Q
USC00045915         479S
USC00045933         431S
USC00045968         412Q
USC00046006         455R
USC00046074         495S
USC00046136         427S
USC00046144         510S
USC00046154         475R
USC00046161         535R
USC00046168         498R
USC00046172         459R
USC00046174         481R
USC00046175         566R
USC00046252         442Q
USC00046263         561R
USC00046336         522S
USC00046370         485Q
USC00046377         541S
USC00046386         591Q
USC00046399         518S
USC00046498         446R
USC00046506         475S
USC00046508         444R
USC00046521         484R
USC00046569         559R
USC00046572         558R
USC00046599         530R
USC00046610         462R
USC00046624         477S
USC00046635         585S
USC00046646         492R
USC00046657         427S
USC00046685         471S
USC00046699         537S
USC00046719         579R
USC00046730         479C
USC00046773         479R
USC00046826         490S
USC00046926         448S
USC00046943         525R
USC00046960         467R
USC00046962         469R
USC00047050         557R
USC00047077         500R
USC00047085         312S
USC00047109         460S
USC00047150         445S
USC00047195         365R
USC00047228         517R
USC00047253         450S
USC00047306         539S
USC00047339         501R
USC00047404         445S
USC00047414         513R
USC00047470         561S
USC00047473         553R
USC00047641         272R
USC00047643         490S
USC00047668         515S
USC00047689         445R
USC00047723         552R
USC00047741         554Q
USC00047767         514R
USC00047785         564S
USC00047807         494R
USC00047813         521S
USC00047821         510S
USC00047836         541Q
USC00047846         482R
USC00047851         526S
USC00047874         556S
USC00047880         490R
USC00047888         584C
USC00047902         560R
USC00047916         524S
USC00047953         574S
USC00047957         554R
USC00047965         500S
USC00048025         409Q
USC00048045         503S
USC00048135         472S
USC00048163         518R
USC00048200         512Q
USC00048207         382R
USC00048218         315Q
USC00048273         458R
USC00048351         482C
USC00048353         441R
USC00048380         358R
USC00048490         449Q
USC00048560         485R
USC00048587         450R
USC00048606         397S
USC00048655         520R
USC00048702         334R
USC00048713         468R
USC00048752         489R
USC00048758         299C
USC00048826         420R
USC00048829         423Q
USC00048873         281R
USC00048904         550Q
USC00048917         471S
USC00048928         426R
USC00048999         477Q
USC00049001         489R
USC00049026         408S
USC00049035         482R
USC00049043         284S
USC00049053         319S
USC00049073         483R
USC00049087         546R
USC00049099         517R
USC00049102         520Q
USC00049105         284R
USC00049111         518R
USC00049122         474S
USC00049152         588S
USC00049200         491S
USC00049325         467S
USC00049351         301Q
USC00049367         481S
USC00049378         558S
USC00049440         479R
USC00049452         480R
USC00049473         508S
USC00049490         403R
USC00049621         466S
USC00049671         426R
USC00049684         429S
USC00049694         445Q
USC00049699         486R
USC00049742         488C
USC00049781         484S
USC00049785         543Q
USC00049792         496S
USC00049822         360R
USC00049847         569Q
USC00049855         388R
USC00049859         485Q
USC00049866         365S
USC00050109         291R
USC00050128         199Q
USC00050185         232R
USC00050214         264S
USC00050263         150S
USC00050301         303R
USC00050306         303Q
USC00050372         235S
USC00050454         236S
USC00050754         244Q
USC00050776         223R
USC00050797         160R
USC00050825         132Q
USC00050834         305R
USC00050848         345S
USC00050945         259S
USC00050950         299S
USC00051017         216R
USC00051018         239Q
USC00051060         296R
USC00051071         266R
USC00051121         303S
USC00051179         293S
USC00051186         221S
USC00051268         354S
USC00051294         342R
USC00051401         319S
USC00051440         296R
USC00051443         282R
USC00051458         196S
USC00051528         295S
USC00051539         306R
USC00051547         322R
USC00051564         321S
USC00051609         199S
USC00051620         287Q
USC00051660         138R
USC00051681         239R
USC00051713         156S
USC00051741         268R
USC00051743         253R
USC00051772         323R
USC00051886         308S
USC00051932         208R
USC00051939         211R
USC00051948         134Q
USC00051959         113S
USC00051964         228R
USC00051977         237Q
USC00051996         300R
USC00052184         193S
USC00052192         291R
USC00052196         291R
USC00052223         339R
USC00052281         174S
USC00052286         242S
USC00052342         294Q
USC00052432         292R
USC00052441         277R
USC00052446         305R
USC00052631         304R
USC00052759         288R
USC00052761         258Q
USC00052790         282S
USC00052816         216Q
USC00052932         298R
USC00052947         291R
USC00052965         217R
USC00053005         316S
USC00053006         294R
USC00053016         249S
USC00053038         258R
USC00053116         154R
USC00053146         290R
USC00053246         333S
USC00053258         297Q
USC00053261         244R
USC00053307         267R
USC00053359         263S
USC00053387         296Q
USC00053446         177Q
USC00053489         316S
USC00053496         192C
USC00053500         164S
USC00053530         225S
USC00053541         234S
USC00053553         322C
USC00053592         167R
USC00053629         285Q
USC00053662         123R
USC00053867         210C
USC00053951         151R
USC00054054         210R
USC00054076         303S
USC00054082         280S
USC00054135         210R
USC00054172         284R
USC00054242         295R
USC00054250         281R
USC00054254         271Q
USC00054380         297R
USC00054388         312R
USC00054413         304S
USC00054444         309S
USC00054452         327R
USC00054538         335R
USC00054546         350R
USC00054603         290R
USC00054606         292R
USC00054664         148S
USC00054724         322R
USC00054726         327S
USC00054734         192R
USC00054742         170C
USC00054762         335S
USC00054770         311S
USC00054834         325S
USC00054934         248S
USC00054945         290S
USC00055025         282R
USC00055056         318R
USC00055116         284R
USC00055236         288R
USC00055322         220S
USC00055327         277R
USC00055402         322R
USC00055414         183R
USC00055422         236R
USC00055427         287R
USC00055446         193R
USC00055484         204R
USC00055507         197R
USC00055531         306S
USC00055706         188R
USC00055722         290S
USC00055734         285R
USC00055797         173R
USC00055922         275R
USC00055934         244R
USC00055970         261R
USC00055984         338R
USC00056012         271S
USC00056023         277R
USC00056040         217Q
USC00056131         291S
USC00056136         301R
USC00056203         256R
USC00056205         271Q
USC00056258         242R
USC00056259         250Q
USC00056266         315S
USC00056306         296S
USC00056318         316R
USC00056320         300Q
USC00056323         305R
USC00056326         327R
USC00056520         280Q
USC00056765         336R
USC00056816         328R
USC00056832         202S
USC00056970         224R
USC00056977         246R
USC00057017         228R
USC00057020         243R
USC00057031         284R
USC00057050         161R
USC00057167         327S
USC00057249         320R
USC00057287         295R
USC00057296         251R
USC00057309         233R
USC00057317         314R
USC00057337         223R
USC00057370         274R
USC00057430         252R
USC00057450         192Q
USC00057515         272S
USC00057519         296Q
USC00057557         294R
USC00057560         283R
USC00057572         295R
USC00057582         300Q
USC00057656         161R
USC00057848         196R
USC00057866         338R
USC00057936         170S
USC00057950         293R
USC00058008         305R
USC00058022         294R
USC00058064         189R
USC00058157         338S
USC00058184         122R
USC00058204         198S
USC00058290         330R
USC00058429         340C
USC00058436         317R
USC00058501         199R
USC00058560         325R
USC00058575         179R
USC00058582         239S
USC00058690         260R
USC00058756         171C
USC00058781         336S
USC00058793         333S
USC00058839         312S
USC00058860         186Q
USC00058931         242S
USC00058995         320S
USC00059058         297Q
USC00059060         287Q
USC00059096         145S
USC00059181         177R
USC00059243         299R
USC00059265         192R
USC00059275         302R
USC00059278         291Q
USC00059295         304S
USC00060227         261R
USC00060808         311Q
USC00060961         283R
USC00060973         283S
USC00061762         301R
USC00062658         257S
USC00063207         331R
USC00063420         276Q
USC00064488         274R
USC00064767         313R
USC00065077         311R
USC00065445         238S
USC00065910         306S
USC00067373         253R
USC00067958         262Q
USC00067970         319R
USC00068138         287R
USC00069388         271R
USC00069568         263R
USC00071200         339Q
USC00072730         375S
USC00073570         368R
USC00073595         354R
USC00075320         394S
USC00075915         359R
USC00076410         354R
USC00079605         342S
USC00080228         617R
USC00080236         617S
USC00080369         621S
USC00080414         698Q
USC00080478         633S
USC00080598         536Q
USC00080611         644R
USC00080737         640Q
USC00080945         630R
USC00080992         634Q
USC00081046         616S
USC00081163         586S
USC00081276         648R
USC00081306         695R
USC00081544         524S
USC00081641         607S
USC00081651         634Q
USC00081654         652R
USC00081795         702R
USC00081858         669R
USC00081978         583R
USC00082008         540R
USC00082046         699Q
USC00082150         588Q
USC00082220         517R
USC00082229         581S
USC00082298         644S
USC00082418         697R
USC00082441         701R
USC00082850         670R
USC00082915         583R
USC00082944         555S
USC00083020         680R
USC00083026         614Q
USC00083137         619R
USC00083153         616Q
USC00083163         676S
USC00083168         687R
USC00083207         636R
USC00083322         555R
USC00083470         533S
USC00083874         560S
USC00083909         683S
USC00083956         548R
USC00084050         681Q
USC00084095         670R
USC00084210         644R
USC00084289         580S
USC00084320         702Q
USC00084366         573S
USC00084394         525C
USC00084412         689Q
USC00084461         669Q
USC00084625         608S
USC00084662         627R
USC00084707         615R
USC00084731         550S
USC00084802         623R
USC00085076         583C
USC00085099         562R
USC00085184         673R
USC00085275         527S
USC00085359         626Q
USC00085539         542S
USC00085667         680R
USC00085793         497R
USC00085879         522R
USC00085880         526Q
USC00085895         642R
USC00085973         631R
USC00086065         632C
USC00086078         659S
USC00086129         506Q
USC00086240         505R
USC00086315         680Q
USC00086406         671R
USC00086414         596S
USC00086485         634R
USC00086618         564R
USC00086657         629Q
USC00086764         648Q
USC00086767         569R
USC00086828         521Q
USC00086842         544R
USC00086880         621S
USC00087020         658R
USC00087025         556S
USC00087205         621C
USC00087228         582Q
USC00087254         684R
USC00087261         603Q
USC00087304         642Q
USC00087397         647S
USC00087429         533R
USC00087760         692R
USC00087826         581S
USC00087851         624S
USC00087982         614S
USC00088076         540Q
USC00088368         635Q
USC00088529         551R
USC00088565         541R
USC00088620         657R
USC00088756         525Q
USC00088780         679R
USC00088824         613S
USC00088841         701S
USC00088942         618S
USC00089120         560S
USC00089176         630R
USC00089219         632R
USC00089401         630S
USC00089430         593S
USC00089511         678Q
USC00089566         524S
USC00089640         545Q
USC00089707         636R
USC00090010         487Q
USC00090140         500S
USC00090181         423R
USC00090219         409R
USC00090236         422R
USC00090253         478R
USC00090311         446S
USC00090406         495R
USC00090586         518R
USC00090603         402Q
USC00090670         502Q
USC00090969         388R
USC00090979         499R
USC00091266         498S
USC00091340         541S
USC00091448         473R
USC00091463         516Q
USC00091474         425R
USC00091500         503S
USC00091640         425S
USC00091665         437R
USC00091732         419S
USC00091863         418R
USC00091908         409Q
USC00091965         398Q
USC00091973         504R
USC00091982         397S
USC00092006         391Q
USC00092153         525R
USC00092159         475R
USC00092180         425S
USC00092266         478S
USC00092283         414S
USC00092318         443R
USC00092361         488Q
USC00092408         410Q
USC00092450         475S
USC00092475         402R
USC00092485         425C
USC00092493         422R
USC00092517         431R
USC00092738         519Q
USC00092783         502S
USC00092839         477S
USC00092966         483S
USC00093060         409C
USC00093271         453R
USC00093325         531R
USC00093386         498R
USC00093465         551C
USC00093506         451R
USC00093538         534S
USC00093578         489Q
USC00093621         427S
USC00093658         485Q
USC00093754         506C
USC00093915         468R
USC00094133         432S
USC00094138         435Q
USC00094170         475R
USC00094204         503R
USC00094230         399R
USC00094429         506S
USC00094594         484R
USC00094648         412S
USC00094674         529R
USC00094676         498R
USC00094700         436R
USC00094862         466Q
USC00094941         407R
USC00094949         459R
USC00095061         489Q
USC00095165         438Q
USC00095314         473C
USC00095394         482R
USC00095401         490Q
USC00095404         433Q
USC00095550         488R
USC00095666         438R
USC00095811         505R
USC00095863         481R
USC00095874         464S
USC00095882         474R
USC00095988         438S
USC00096087         522S
USC00096093         366Q
USC00096148         474R
USC00096219         510R
USC00096244         523R
USC00096335         442R
USC00096838         510Q
USC00097087         471S
USC00097171         500R
USC00097276         511S
USC00097528         477Q
USC00097600         437S
USC00097777         470S
USC00097808         528R
USC00097827         379R
USC00098064         449C
USC00098436         418Q
USC00098476         492R
USC00098496         503R
USC00098535         454S
USC00098661         461S
USC00098666         529Q
USC00098703         500S
USC00098740         431R
USC00098950         436S
USC00098974         521Q
USC00099027         483Q
USC00099124         474R
USC00099141         451S
USC00099157         444S
USC00099186         507S
USC00099194         474S
USC00099291         448S
USC00099466         437R
USC00099486         431R
USC00099502         516R
USC00100010         234S
USC00100227         252S
USC00100282         287Q
USC00100347         245R
USC00100375         201R
USC00100448         298S
USC00100470         211R
USC00100528         287Q
USC00100667         299R
USC00100803         195R
USC00100915         247R
USC00101017         310S
USC00101018         328Q
USC00101079         288S
USC00101180         342R
USC00101195         355S
USC00101220         295S
USC00101363         292S
USC00101380         325R
USC00101408         253S
USC00101514         218S
USC00101551         303S
USC00101663         235R
USC00101671         191S
USC00101831         275Q
USC00101956         312R
USC00102159         305S
USC00102187         268Q
USC00102246         287R
USC00102260         209S
USC00102390         197R
USC00102444         334R
USC00102575         188S
USC00102577         188Q
USC00102676         199S
USC00102707         209S
USC00102845         344S
USC00102875         247S
USC00102892         273S
USC00102942         316S
USC00103108         184R
USC00103110         159R
USC00103143         314S
USC00103297         239S
USC00103448         279S
USC00103554         209R
USC00103558         207Q
USC00103631         325R
USC00103732         222S
USC00103760         325S
USC00103771         313S
USC00103882         174R
USC00103932         314R
USC00103940         213Q
USC00103964         195R
USC00104140         283S
USC00104150         273R
USC00104268         190R
USC00104295         300Q
USC00104318         306Q
USC00104384         200R
USC00104442         252S
USC00104455         238S
USC00104456         229S
USC00104598         188R
USC00104670         291S
USC00104793         327Q
USC00104831         299S
USC00104845         206R
USC00105013         313R
USC00105015         322Q
USC00105038         325R
USC00105143         239Q
USC00105177         182R
USC00105275         194S
USC00105414         239R
USC00105462         191S
USC00105563         274R
USC00105567         292R
USC00105678         263R
USC00105685         199R
USC00105708         226S
USC00105716         231R
USC00105897         246S
USC00105980         267S
USC00106152         316C
USC00106174         316R
USC00106230         295R
USC00106250         304R
USC00106305         321C
USC00106388         207R
USC00106424         295S
USC00106542         310C
USC00106586         277R
USC00106764         227R
USC00106844         308S
USC00106877         270S
USC00106891         308S
USC00107040         208C
USC00107046         271R
USC00107188         295R
USC00107208         282R
USC00107210         276Q
USC00107264         280R
USC00107301         308S
USC00107320         248S
USC00107346         239R
USC00107386         269C
USC00107563         252R
USC00107644         217R
USC00107648         309S
USC00107673         229S
USC00107689         222Q
USC00107706         365S
USC00107808         253Q
USC00107968         274R
USC00108022         197S
USC00108062         309S
USC00108080         212S
USC00108137         289S
USC00108380         271S
USC00108395         249R
USC00108412         289R
USC00108535         206S
USC00108676         130S
USC00108928         337S
USC00108937         229S
USC00109000         251R
USC00109065         182R
USC00109293         314S
USC00109303         290S
USC00109498         292R
USC00109560         221R
USC00109638         302R
USC00109698         256Q
USC00109846         294S
USC00109950         238Q
USC00109951         223R
USC00109963         294R
USC00110055         329R
USC00110072         242S
USC00110137         338R
USC00110140         243Q
USC00110187         357S
USC00110203         241R
USC00110306         286R
USC00110338         258S
USC00110356         259Q
USC00110442         235R
USC00110598         280R
USC00110608         344R
USC00110764         269R
USC00110993         351S
USC00111020         327R
USC00111160         331S
USC00111265         347S
USC00111280         299R
USC00111290         314R
USC00111302         332R
USC00111420         260R
USC00111436         311S
USC00111475         274C
USC00111497         264S
USC00111550         287Q
USC00111835         233R
USC00111836         266R
USC00112140         297S
USC00112193         303S
USC00112223         232S
USC00112348         231S
USC00112353         378S
USC00112483         348S
USC00112500         250R
USC00112736         243S
USC00112745         220R
USC00112931         327S
USC00112993         271R
USC00113106         319R
USC00113109         333S
USC00113262         227S
USC00113290         244S
USC00113320         246S
USC00113335         241S
USC00113369         259R
USC00113384         254C
USC00113413         271R
USC00113455         264R
USC00113530         273R
USC00113580         362R
USC00113612         336Q
USC00113717         282R
USC00113879         350R
USC00113940         280R
USC00114013         259S
USC00114078         323Q
USC00114108         325S
USC00114198         282C
USC00114317         315Q
USC00114400         317R
USC00114442         289S
USC00114447         294Q
USC00114489         304S
USC00114530         267C
USC00114603         269S
USC00114629         341S
USC00114710         241S
USC00114780         255Q
USC00114805         286S
USC00114823         267R
USC00114837         247R
USC00114957         328R
USC00114991         323Q
USC00115079         285R
USC00115097         253Q
USC00115113         286Q
USC00115326         232R
USC00115342         322R
USC00115372         250R
USC00115413         273R
USC00115430         302R
USC00115493         231R
USC00115515         332R
USC00115712         261S
USC00115768         270S
USC00115772         249R
USC00115825         262R
USC00115833         246S
USC00115841         290C
USC00115888         337S
USC00115901         236R
USC00115943         319S
USC00115950         291R
USC00115961         236R
USC00116011         324C
USC00116025         301Q
USC00116080         260R
USC00116157         320R
USC00116159         296R
USC00116200         265S
USC00116383         369R
USC00116446         316S
USC00116526         262S
USC00116558         326R
USC00116579         297R
USC00116610         289C
USC00116616         259S
USC00116661         218R
USC00116663         258R
USC00116738         294R
USC00116753         250S
USC00116819         269S
USC00116837         293R
USC00116897         243R
USC00116910         263S
USC00116970         271Q
USC00116998         256R
USC00117004         262S
USC00117077         297R
USC00117126         300R
USC00117187         339Q
USC00117345         315Q
USC00117354         226S
USC00117391         267R
USC00117457         260R
USC00117487         346R
USC00117551         283S
USC00117590         260Q
USC00117636         317C
USC00117876         296R
USC00117952         271Q
USC00118020         356S
USC00118147         331S
USC00118186         294Q
USC00118293         226C
USC00118324         237R
USC00118389         289R
USC00118684         279S
USC00118740         275S
USC00118781         309S
USC00118860         312S
USC00118916         238S
USC00119002         337R
USC00119021         262S
USC00119029         254R
USC00119221         250S
USC00119241         292S
USC00119331         294R
USC00119354         303S
USC00120177         293S
USC00120200         250C
USC00120331         272R
USC00120676         278S
USC00120784         313C
USC00120830         269S
USC00120852         354R
USC00120858         256R
USC00121030         314S
USC00121229         276R
USC00121303         288R
USC00121417         264Q
USC00121425         347R
USC00121739         261S
USC00121747         314S
USC00121869         339R
USC00121873         270R
USC00122096         272Q
USC00122149         283S
USC00122309         326C
USC00122638         282S
USC00122660         345R
USC00122731         384R
USC00122825         278C
USC00123078         260Q
USC00123082         284S
USC00123091         291Q
USC00123104         315S
USC00123206         264Q
USC00123207         268R
USC00123418         271S
USC00123513         283S
USC00123527         288S
USC00123547         309C
USC00123777         279R
USC00124008         268R
USC00124181         279S
USC00124244         273R
USC00124272         289S
USC00124356         279R
USC00124527         270R
USC00124550         263R
USC00124657         280Q
USC00124662         266S
USC00124711         289Q
USC00124715         275S
USC00124730         257S
USC00124782         256R
USC00124837         271S
USC00124977         311Q
USC00125117         271R
USC00125174         255C
USC00125237         347S
USC00125337         280S
USC00125407         293C
USC00125658         300R
USC00126001         355S
