AQC00914000        6380R
USC00013154        1462R
USC00013160        1502S
USC00013251        1553C
USC00013271        1515R
USC00013430        1588R
USC00013511        1549S
USC00013519        1479S
USC00013573        1551R
USC00013575        1627R
USC00013620        1721R
USC00013645        1683C
USC00013655        1580R
USC00013761        1459S
USC00013775        1557S
USC00013781        1461R
USC00013816        1449S
USC00013930        1450S
USC00014080        1332R
USC00014193        1632R
USC00014209        1420R
USC00014226        1693R
USC00014274        1471S
USC00014306        1347R
USC00014431        1534R
USC00014502        1494S
USC00014603        1410R
USC00014619        1493S
USC00014798        1542R
USC00014866        1443R
USC00015112        1617R
USC00015116         198Q
USC00015121        1533S
USC00015397        1347Q
USC00015420        1511S
USC00015439        1409R
USC00015465        1507R
USC00015537        1578R
USC00015553        1424Q
USC00015635        1649S
USC00015658        1567R
USC00015752        1549Q
USC00016000        1573R
USC00016121        1588R
USC00016129        1495R
USC00016196        1607Q
USC00016246        1503S
USC00016334        1615R
USC00016436        1555S
USC00016478        1457C
USC00016847        1658S
USC00016988        1556S
USC00017020        1617R
USC00017025        1420R
USC00017131        1607R
USC00017157        1703R
USC00017207        1501S
USC00017304        1667S
USC00017326        1372Q
USC00017366        1467S
USC00017947        1660R
USC00017999        1524S
USC00018024        1548S
USC00018038        1334S
USC00018178        1591S
USC00018209        1532S
USC00018323        1311R
USC00018380        1572S
USC00018385        1488S
USC00018438        1408S
USC00018469        1603S
USC00018517        1665R
USC00018605        1498R
USC00018608        1506Q
USC00018648        1575R
USC00018653        1559R
USC00018673        1612C
USC00018755        1426R
USC00018809        1637S
USC00018812        1596Q
USC00018859        1446S
USC00018867        1716R
USC00018998        1749S
USC00020060         307R
USC00020080         235R
USC00020100         290S
USC00020159         409R
USC00020174         547R
USC00020287         243R
USC00020288         487R
USC00020380         421R
USC00020404         311Q
USC00020498         356S
USC00020586         612R
USC00020632         515R
USC00020670         418R
USC00020672         276S
USC00020678         625R
USC00020683         244R
USC00020750         376R
USC00020775         419R
USC00020808         527S
USC00020871         571Q
USC00020949         208S
USC00020958         310S
USC00021001         854R
USC00021026         284R
USC00021050         260S
USC00021231         419R
USC00021248         236R
USC00021282         506R
USC00021306         293R
USC00021314         311S
USC00021330         352S
USC00021353         548S
USC00021514         339R
USC00021574         420R
USC00021614         611R
USC00021654         406Q
USC00021664         489R
USC00021849         398R
USC00021920         406S
USC00022109         517S
USC00022140         547R
USC00022434         189R
USC00022527         429Q
USC00022659         253R
USC00022754         300S
USC00022782         419Q
USC00022790         163R
USC00022807         370R
USC00023009         648R
USC00023027         356R
USC00023110         367Q
USC00023150         309S
USC00023160         602R
USC00023190         428S
USC00023303         258Q
USC00023393         246S
USC00023448         597S
USC00023505         543R
USC00023596         425R
USC00023668         270R
USC00023683         425R
USC00023828         786Q
USC00023961         469Q
USC00024053         526R
USC00024089         183R
USC00024182         532S
USC00024391         651R
USC00024453         500R
USC00024586         223Q
USC00024590         474R
USC00024675         597R
USC00024702         235S
USC00024761         165R
USC00024829         275S
USC00024849         140R
USC00024977         321R
USC00025129         105R
USC00025270         268S
USC00025412         718S
USC00025418         238S
USC00025426         224Q
USC00025467         343S
USC00025512         640R
USC00025635         396S
USC00025665          66R
USC00025700         530R
USC00025780         800R
USC00025825         778Q
USC00025908         346R
USC00025924         365S
USC00026037        1035R
USC00026119         707S
USC00026132         301R
USC00026180         160R
USC00026190         242R
USC00026194         234Q
USC00026250         226R
USC00026282         397S
USC00026328         268R
USC00026353         267R
USC00026468         208R
USC00026471         275S
USC00026513         343R
USC00026597         497R
USC00026601         732S
USC00026603         460Q
USC00026616         336R
USC00026653         652R
USC00026716         475S
USC00026796         484S
USC00026840         664R
USC00026865         180R
USC00027036         403S
USC00027281         612S
USC00027334         439S
USC00027370         279R
USC00027390         238S
USC00027435         181R
USC00027462         254R
USC00027480         550R
USC00027488         216R
USC00027530         356S
USC00027560         284R
USC00027593         548R
USC00027619         448R
USC00027622         484R
USC00027625         426Q
USC00027708         581S
USC00027716         315S
USC00027855         376S
USC00027880         271R
USC00028012         247S
USC00028018         204R
USC00028112         289R
USC00028162         154S
USC00028214         492S
USC00028329         417R
USC00028348         657R
USC00028349         918R
USC00028396         145S
USC00028468         174R
USC00028499         334S
USC00028516         197R
USC00028598         357S
USC00028619         283S
USC00028641         270R
USC00028650        1095R
USC00028792         144R
USC00028795         314R
USC00028796         338S
USC00028800         401R
USC00028815         287S
USC00028817         303S
USC00028865         340R
USC00028904         343S
USC00028998         324R
USC00029114         169R
USC00029156         441R
USC00029158         453S
USC00029166         576S
USC00029271         550R
USC00029287         394S
USC00029309         373R
USC00029334         327S
USC00029359         668S
USC00029376         231R
USC00029410         234R
USC00029464         377Q
USC00029542         180R
USC00029562         334R
USC00029634         337C
USC00029645         289S
USC00029652         146R
USC00029656         174R
USC00030006         969R
USC00030064        1104S
USC00030130        1378S
USC00030150        1438S
USC00030220        1356S
USC00030234        1625S
USC00030240        1540R
USC00030286        1272S
USC00030300        1445S
USC00030326        1265S
USC00030458        1105S
USC00030460        1148S
USC00030586         867R
USC00030616         859R
USC00030664        1461S
USC00030746        1293S
USC00030764        1354R
USC00030798        1110S
USC00030806        1290S
USC00030814        1270R
USC00030832        1131S
USC00030936        1265S
USC00031102        1205S
USC00031132        1075R
USC00031140        1377R
USC00031152        1412S
USC00031191        1513Q
USC00031310        1237R
USC00031328        1184Q
USC00031442        1346R
USC00031455        1162R
USC00031457        1108R
USC00031459        1074R
USC00031492        1237R
USC00031508        1079R
USC00031596        1218R
USC00031632        1157S
USC00031666        1230S
USC00031730        1659S
USC00031750        1342S
USC00031829        1263S
USC00031834        1204S
USC00031900        1180S
USC00031948        1276S
USC00031962        1684S
USC00031968        1269R
USC00031980         908Q
USC00032015        1311S
USC00032020        1304Q
USC00032148        1440S
USC00032355        1660S
USC00032356         896C
USC00032366        1194R
USC00032444         798R
USC00032475        1706R
USC00032540        1491S
USC00032670        1332R
USC00032700        1009Q
USC00032760        1300R
USC00032794        1042R
USC00032842        1408S
USC00032922        1195S
USC00032930         868S
USC00032946         857R
USC00032962        1134R
USC00032978        1241R
USC00033019        1222Q
USC00033132        1305R
USC00033164         929Q
USC00033200        1208Q
USC00033242        1393R
USC00033361         883Q
USC00033428        1404S
USC00033438        1367S
USC00033442        1294S
USC00033466        1330S
USC00033544         856R
USC00033704        1195R
USC00033734        1203R
USC00033821        1311S
USC00033862        1253C
USC00033910         905Q
USC00034010        1190C
USC00034106         918R
USC00034134        1410S
USC00034185        1416R
USC00034290        1191Q
USC00034528        1314R
USC00034548        1407S
USC00034562        1377R
USC00034572        1088R
USC00034638        1375S
USC00034666         995R
USC00034746        1060S
USC00034756        1284S
USC00034777        1028Q
USC00034839        1362Q
USC00034936        1612Q
USC00034938        1217R
USC00034988        1362S
USC00035018        1023R
USC00035036        1030S
USC00035046        1131R
USC00035079        1354R
USC00035112        1296S
USC00035160        1004R
USC00035177        1308R
USC00035186        1244S
USC00035200        1268S
USC00035354         990S
USC00035358        1276S
USC00035498        1233R
USC00035508        1153R
USC00035512        1020R
USC00035563        1223S
USC00035591        1130S
USC00035691        1231S
USC00035754        1410S
USC00035760        1237S
USC00035820        1225R
USC00035831        1212Q
USC00035866        1665R
USC00035900         893Q
USC00035908        1427S
USC00036008         985S
USC00036174        1416Q
USC00036253        1558R
USC00036376        1417R
USC00036380        1186S
USC00036393        1055R
USC00036403        1093S
USC00036506        1228S
USC00036562        1374S
USC00036768        1400R
USC00036918        1317S
USC00036920        1317S
USC00036928        1024S
USC00037038        1308R
USC00037383        1287R
USC00037488        1072R
USC00037582        1584S
USC00037653         911Q
USC00037712        1442R
USC00038010        1252Q
USC00038052        1233R
USC00040010         961R
USC00040014         626R
USC00040029         545R
USC00040136         874R
USC00040144        1352R
USC00040161         396R
USC00040192         796R
USC00040212        2360S
USC00040232         742R
USC00040235         563R
USC00040343        1372R
USC00040379        1410S
USC00040383        1937R
USC00040436         195R
USC00040444         402Q
USC00040449        1665R
USC00040521         258S
USC00040673        2984S
USC00040684         308R
USC00040693        1523R
USC00040738        1878R
USC00040741        1131R
USC00040755        1705Q
USC00040779        1402R
USC00040790        2649R
USC00040798        1576R
USC00040819         557R
USC00040850        2242R
USC00040924         172S
USC00040931        1072R
USC00040943         466R
USC00040983         337S
USC00041010         897R
USC00041018        3353Q
USC00041048         149R
USC00041072         458R
USC00041080        3506R
USC00041130        3842Q
USC00041149        3233S
USC00041159        3530R
USC00041214        1377R
USC00041244         340S
USC00041253        1348S
USC00041277        2982S
USC00041288         119S
USC00041312        2383R
USC00041316        1034S
USC00041428        1175S
USC00041484        1103R
USC00041497        1922S
USC00041534        1072Q
USC00041606        1813R
USC00041614         457S
USC00041680        1078Q
USC00041697        2662R
USC00041700        1721R
USC00041715        1389R
USC00041738         218Q
USC00041758         567R
USC00041806        1831R
USC00041838        2468R
USC00041864         482S
USC00041878        1476S
USC00041907        1568S
USC00041912        2441S
USC00041916        2173S
USC00041948         990R
USC00041967        1062R
USC00041990         906S
USC00042012         400S
USC00042081        2344S
USC00042090        1132R
USC00042147        3344R
USC00042198        1963R
USC00042214         869R
USC00042239        1695S
USC00042294        1133S
USC00042319         120S
USC00042327         261S
USC00042331         228R
USC00042346         382S
USC00042402        3618R
USC00042406        1247R
USC00042410         157Q
USC00042456        2405R
USC00042467        1931R
USC00042494         864R
USC00042500        3297S
USC00042504         522S
USC00042506         663S
USC00042574        3427R
USC00042598         180S
USC00042640        1350R
USC00042671        2486R
USC00042706         664R
USC00042709         886R
USC00042713         136S
USC00042728        1704R
USC00042756        1130R
USC00042760        1072R
USC00042771         285S
USC00042805         796R
USC00042863         858R
USC00042920        1076S
USC00042934        1472S
USC00042941        1055R
USC00042964         959Q
USC00043038        1894S
USC00043083         470R
USC00043134        2781R
USC00043157         761R
USC00043161        2281R
USC00043191        2209Q
USC00043244         906R
USC00043256         626Q
USC00043261         789S
USC00043357        4402S
USC00043369         962R
USC00043384        2555Q
USC00043392        1073Q
USC00043402        1840S
USC00043417        1221S
USC00043452        1343R
USC00043463        1040S
USC00043489         182R
USC00043491        2785S
USC00043498         300R
USC00043551        2181R
USC00043573        2822S
USC00043578        2440C
USC00043614        1336R
USC00043647        2868R
USC00043669        2149Q
USC00043672        2022R
USC00043710         385S
USC00043714        1600R
USC00043747         470S
USC00043800        1826S
USC00043824         825R
USC00043855         232S
USC00043875        2527S
USC00043878        2536R
USC00043882        1719Q
USC00043896         652S
USC00043914        1500S
USC00043939        1796S
USC00044025         780R
USC00044176        2318S
USC00044211        1398R
USC00044223         136C
USC00044232         314S
USC00044259         182R
USC00044278         310R
USC00044288        2898R
USC00044297         186S
USC00044303         863Q
USC00044374         571R
USC00044405         188Q
USC00044412        1197Q
USC00044422        1955S
USC00044484        1922R
USC00044500        2816S
USC00044523         723R
USC00044534         453Q
USC00044536         397R
USC00044555         681S
USC00044577        3855R
USC00044628        1381R
USC00044647         853R
USC00044671        2264R
USC00044705         712R
USC00044710         840S
USC00044712        1573S
USC00044713        3891R
USC00044735         670R
USC00044838         497R
USC00044863         749R
USC00044867        1293R
USC00044881         780R
USC00044890         748S
USC00044957         638S
USC00044997         833C
USC00045026        2444R
USC00045032        1013R
USC00045064         948S
USC00045107         980R
USC00045118         543S
USC00045119         484S
USC00045120         475R
USC00045123        1382S
USC00045147        1506R
USC00045218        2190R
USC00045233         630R
USC00045311        1736R
USC00045352        1774R
USC00045356         960R
USC00045360        1706S
USC00045378        1163S
USC00045385        1174R
USC00045400        1820R
USC00045449        2475R
USC00045502         157R
USC00045532         706S
USC00045598        2512R
USC00045679        2819R
USC00045721         440S
USC00045756         362R
USC00045790         961R
USC00045795        1173S
USC00045802         998R
USC00045866        1006R
USC00045890         271R
USC00045892         358Q
USC00045915        1378S
USC00045933        1329S
USC00046006        2041S
USC00046027        2143R
USC00046074        1571S
USC00046136        3308S
USC00046144         843S
USC00046154         444S
USC00046161        1159R
USC00046162        1073R
USC00046168         661S
USC00046174        1580R
USC00046175         648S
USC00046194        1039S
USC00046197         131R
USC00046252        1776Q
USC00046263         922R
USC00046328        1090Q
USC00046329        1238R
USC00046336        1369S
USC00046370        3263R
USC00046377         588R
USC00046386         206Q
USC00046390         187R
USC00046399        1318S
USC00046498        3218R
USC00046506        1262S
USC00046508        2729S
USC00046521        1599R
USC00046569         982R
USC00046572         903R
USC00046597        2743S
USC00046599        1847S
USC00046602        1152R
USC00046610         907S
USC00046624         447S
USC00046635         302S
USC00046646         921R
USC00046650        1617R
USC00046657        1746R
USC00046663         811R
USC00046675         626S
USC00046685        3158S
USC00046699         264S
USC00046719        1279S
USC00046726        1352R
USC00046730         894S
USC00046773         399R
USC00046826        1519S
USC00046896        1111S
USC00046926         964R
USC00046940        1167S
USC00046943         960R
USC00046944         773R
USC00046946        4005S
USC00046960        2063R
USC00047050        1015R
USC00047077         575R
USC00047085        1202S
USC00047109        2502S
USC00047111         764S
USC00047150        1224S
USC00047195        2090Q
USC00047228         831R
USC00047253         400R
USC00047293        1492Q
USC00047298        1908Q
USC00047306         772S
USC00047339        1182R
USC00047370        1191S
USC00047404        3807R
USC00047414        1424R
USC00047470         605R
USC00047473         612S
USC00047581        3125R
USC00047641        1529R
USC00047643        2142R
USC00047668         851S
USC00047672        1369S
USC00047681        1136S
USC00047689        2363R
USC00047723         962R
USC00047731        1316S
USC00047741         675Q
USC00047749        1105R
USC00047767        1225R
USC00047776        1416S
USC00047779        1763R
USC00047785        1060S
USC00047807        1717R
USC00047813         712R
USC00047821         879S
USC00047836         860Q
USC00047846         580R
USC00047851        1378S
USC00047874         787R
USC00047880        2164R
USC00047888         831S
USC00047902        1195R
USC00047916        1820S
USC00047933        1939S
USC00047953         806S
USC00047957        1110R
USC00047965        1814S
USC00048014        1105S
USC00048025        2213Q
USC00048045        2640S
USC00048135        3423S
USC00048163        3148R
USC00048200         220S
USC00048207        3558R
USC00048273        2498Q
USC00048317         773R
USC00048351        1818R
USC00048353        1789R
USC00048380        2191R
USC00048406         884R
USC00048490        3782R
USC00048560         956R
USC00048580        1330R
USC00048587        1248S
USC00048606        4363S
USC00048655         683R
USC00048702         522R
USC00048713        1703Q
USC00048752         290R
USC00048758        1755C
USC00048826         534R
USC00048829         767Q
USC00048839         564R
USC00048873         349R
USC00048904        1046Q
USC00048917        1291R
USC00048928        2598R
USC00048967        1527R
USC00048999         720Q
USC00049001         710R
USC00049026        1714S
USC00049035         221S
USC00049043        1547S
USC00049053         412S
USC00049073         679S
USC00049087         856R
USC00049099         169S
USC00049105        2240R
USC00049111        1047R
USC00049122        2231S
USC00049124        2807S
USC00049152        1181S
USC00049185        1467S
USC00049200        1579R
USC00049273        3333Q
USC00049285        1006R
USC00049325         333S
USC00049345         483R
USC00049351         649S
USC00049367         550R
USC00049378         745R
USC00049390        1650S
USC00049431         949R
USC00049440        2708R
USC00049452         364S
USC00049473        1339S
USC00049490        2018R
USC00049582        2089R
USC00049621        3390S
USC00049660         850R
USC00049671         301R
USC00049677        2062Q
USC00049684        2774R
USC00049694        2967Q
USC00049699        1262Q
USC00049742        1444S
USC00049781        1221S
USC00049785        1087Q
USC00049792        1748R
USC00049822        1362R
USC00049847         925Q
USC00049855        1865R
USC00049859        1988Q
USC00049866         942R
USC00050102         204R
USC00050105         271R
USC00050109         118S
USC00050128          84Q
USC00050214         363C
USC00050263          85S
USC00050304         136R
USC00050306         190Q
USC00050372         604R
USC00050454         163S
USC00050754         402Q
USC00050776         107R
USC00050797         210R
USC00050825         767Q
USC00050834         135R
USC00050839          87Q
USC00050848         252S
USC00050895          71R
USC00050909         424R
USC00050945          65R
USC00050950         129S
USC00051017         124R
USC00051018         177Q
USC00051060         196R
USC00051071         111S
USC00051121         122R
USC00051179         127C
USC00051186         262R
USC00051268         120S
USC00051294         149S
USC00051401         201R
USC00051440         365R
USC00051443         312Q
USC00051458          66R
USC00051528         165S
USC00051539         110R
USC00051564          92S
USC00051609         269R
USC00051660         567S
USC00051681         315R
USC00051713         206S
USC00051741         311R
USC00051743         304Q
USC00051772         216R
USC00051886         270S
USC00051932         339R
USC00051939         180R
USC00051959         708S
USC00051964         155S
USC00051996         117R
USC00052184         130S
USC00052192         124R
USC00052196         176Q
USC00052213         176Q
USC00052223         157Q
USC00052281         260S
USC00052286         181R
USC00052326         456R
USC00052342         387Q
USC00052441         532R
USC00052446         117R
USC00052494         165S
USC00052631         199R
USC00052759         163R
USC00052761         207Q
USC00052790         209R
USC00052816         173Q
USC00052932         101R
USC00052934         151Q
USC00052944         118R
USC00052947         121R
USC00052965         146Q
USC00053005         130S
USC00053006         133R
USC00053016         420R
USC00053038          72R
USC00053063         117R
USC00053079          72S
USC00053116         469R
USC00053146         197R
USC00053246         204S
USC00053258         119R
USC00053261         244R
USC00053307         335Q
USC00053359         387R
USC00053387         337Q
USC00053446         489Q
USC00053489         144S
USC00053496         464S
USC00053500         257S
USC00053530         178S
USC00053541         144R
USC00053553         144S
USC00053592         283R
USC00053629         238S
USC00053652         180Q
USC00053656         126R
USC00053662         232R
USC00053738         420R
USC00053828         114S
USC00053867         454C
USC00053951         205S
USC00054054         240R
USC00054076         118R
USC00054082         135S
USC00054135         326R
USC00054172          82R
USC00054242         146R
USC00054254         320Q
USC00054293         266R
USC00054380         136R
USC00054388          90R
USC00054413         114R
USC00054444          91S
USC00054452         201S
USC00054538         166R
USC00054546         130R
USC00054603          87R
USC00054606         105R
USC00054664         195R
USC00054724         159R
USC00054726         144S
USC00054734         224R
USC00054742          98S
USC00054762         167R
USC00054770         139S
USC00054834         116S
USC00054934         737S
USC00054945         116S
USC00055020          98Q
USC00055025          91R
USC00055116         148R
USC00055236         164R
USC00055322          90R
USC00055327         386R
USC00055402         189Q
USC00055414         698R
USC00055422         289R
USC00055427         124Q
USC00055446         266R
USC00055484         340R
USC00055507         347R
USC00055531         495S
USC00055706         107R
USC00055722         154S
USC00055734         198R
USC00055795         282Q
USC00055797         459R
USC00055922          73R
USC00055934         105R
USC00055970         237R
USC00055984         130R
USC00056012         271R
USC00056023          77R
USC00056131          66R
USC00056136          80S
USC00056203         521R
USC00056205         470Q
USC00056258         470R
USC00056259         517Q
USC00056266         184S
USC00056306         335S
USC00056318         413R
USC00056320         322Q
USC00056323         185Q
USC00056326         104R
USC00056524         337R
USC00056765         101S
USC00056797         540R
USC00056816         206S
USC00056832         179S
USC00056977         129R
USC00057017         667R
USC00057020         252R
USC00057031         305R
USC00057050         346R
USC00057167          97S
USC00057249         269Q
USC00057287          76S
USC00057296         133R
USC00057309         264S
USC00057317         375R
USC00057337          75R
USC00057370          93R
USC00057430         123R
USC00057450         259Q
USC00057460         374S
USC00057510         189S
USC00057515         135S
USC00057519         150Q
USC00057560         125R
USC00057572         185R
USC00057582         123Q
USC00057618         479R
USC00057656         597R
USC00057816         140R
USC00057848         299R
USC00057866         149R
USC00057936         669R
USC00057950         102R
USC00057992         117R
USC00058008         141R
USC00058022         263R
USC00058064         329R
USC00058157          69S
USC00058184         423S
USC00058204         468S
USC00058290         208R
USC00058429         167R
USC00058436         195R
USC00058501         127R
USC00058560         272S
USC00058575         538R
USC00058582         646R
USC00058613         143Q
USC00058690         148R
USC00058756         183S
USC00058781         287S
USC00058793         149S
USC00058839         145R
USC00058860         104Q
USC00058931         177S
USC00058995         217S
USC00059058         104Q
USC00059096         257S
USC00059175         650S
USC00059181        1109R
USC00059213         111R
USC00059216         182R
USC00059243         131R
USC00059265         363S
USC00059275         385R
USC00059278         410Q
USC00059295         108R
USC00059297         137R
USC00060128        1103R
USC00060227        1191R
USC00060299        1103S
USC00060808        1057Q
USC00060961        1008R
USC00060973        1136R
USC00061762        1110R
USC00062169        1045R
USC00062658         902S
USC00063207        1157S
USC00063420        1191Q
USC00063857        1119R
USC00064488        1224R
USC00064767        1141R
USC00065077        1114R
USC00065445        1188S
USC00065910        1308S
USC00066655        1081R
USC00066966        1026R
USC00067002        1079R
USC00067157        1107R
USC00067373        1080R
USC00067432        1183R
USC00067958        1131Q
USC00067959        1050R
USC00067970        1185R
USC00068065        1123R
USC00068138        1134R
USC00068436        1182R
USC00069162        1228R
USC00069388        1170R
USC00069568        1106R
USC00069775        1094S
USC00071200         970Q
USC00072730        1013S
USC00073570        1026R
USC00073595         989R
USC00075320        1059R
USC00076410         971R
USC00079605        1080S
USC00080228         633S
USC00080236         639C
USC00080369         665S
USC00080390         672R
USC00080414         691Q
USC00080478         745R
USC00080598        1085Q
USC00080611         569R
USC00080735         544Q
USC00080737         713Q
USC00080945         788S
USC00080992         598Q
USC00081022        1608Q
USC00081046         888S
USC00081276         644S
USC00081306         659Q
USC00081544        1484S
USC00081641         841S
USC00081651         617Q
USC00081654         574R
USC00081795         619R
USC00081800         888Q
USC00081978         777R
USC00082008        1099R
USC00082046         630Q
USC00082150         849Q
USC00082220        1488R
USC00082229         882S
USC00082288         626S
USC00082298         588R
USC00082391        1143Q
USC00082418         721R
USC00082441         601R
USC00082850         517R
USC00082915         789R
USC00082944         957S
USC00083020         510R
USC00083026         796Q
USC00083163         825S
USC00083168         841Q
USC00083207         757S
USC00083322         990R
USC00083470        1021R
USC00083874         898S
USC00083909         691S
USC00083956        1013S
USC00083986         895S
USC00084050         845Q
USC00084095         517R
USC00084210         645R
USC00084289         831S
USC00084320         566Q
USC00084366         890S
USC00084394        1200C
USC00084412         641Q
USC00084461         977Q
USC00084625         758R
USC00084662         615Q
USC00084707         755R
USC00084731        1062S
USC00084802         824R
USC00085076         817C
USC00085099        1158R
USC00085184         908R
USC00085275        1295S
USC00085359         622Q
USC00085539        1138C
USC00085667         585R
USC00085793        1555R
USC00085879        1342R
USC00085895         554S
USC00085973         712S
USC00086065         801S
USC00086078         609R
USC00086129        1508Q
USC00086240        1626R
USC00086315         735Q
USC00086406         518S
USC00086414         903S
USC00086485         612S
USC00086618         953R
USC00086657         634Q
USC00086764         838Q
USC00086767         919Q
USC00086828        1289Q
USC00086842        1402S
USC00086880         791S
USC00087020         612R
USC00087025        1178S
USC00087205         810S
USC00087228         841Q
USC00087261         804Q
USC00087304         764Q
USC00087397         601S
USC00087429        1332R
USC00087760         494S
USC00087826         828S
USC00087851         908C
USC00087869        1307Q
USC00087982         830S
USC00088076        1147Q
USC00088368         678Q
USC00088529         981Q
USC00088565        1118R
USC00088620         883R
USC00088756        1334Q
USC00088780         543R
USC00088824         887S
USC00088841         615R
USC00088942         814S
USC00089120        1044S
USC00089176         702S
USC00089219         764R
USC00089401         690R
USC00089511         681Q
USC00089566        1378S
USC00089707         778S
USC00089795        1144Q
USC00090010        1232S
USC00090044        1440R
USC00090140        1350S
USC00090181        1378Q
USC00090219        1387R
USC00090253        1382R
USC00090406        1269R
USC00090441        1128R
USC00090444        1321S
USC00090586        1350R
USC00090603        1460R
USC00090670        1139Q
USC00090746        1515R
USC00090969        1497S
USC00090979        1483R
USC00091132        1247R
USC00091266        1077S
USC00091340         999S
USC00091372        1377S
USC00091425        1186R
USC00091448        1248R
USC00091463        1270R
USC00091474        1452R
USC00091500        1402S
USC00091585        1519R
USC00091619        1386R
USC00091640        1433S
USC00091657        1542R
USC00091665        1189R
USC00091670        1368S
USC00091732        1388R
USC00091863        1412S
USC00091906        1339R
USC00091908        1566Q
USC00091965        1680R
USC00091973        1099R
USC00091982        1878R
USC00092006        1737S
USC00092055        1115R
USC00092159        1361Q
USC00092180        1396S
USC00092266        1262C
USC00092283        1526S
USC00092318        1299R
USC00092361        1290S
USC00092408        1512R
USC00092429        1496S
USC00092450        1410R
USC00092475        1799R
USC00092485        1452S
USC00092493        1493R
USC00092517        1353R
USC00092532        1234R
USC00092570        1404R
USC00092578        1631R
USC00092716        1074R
USC00092738        1433Q
USC00092791        1427R
USC00092839        1233S
USC00092966        1259S
USC00093060        1274C
USC00093115        1643S
USC00093147        1451S
USC00093271        1322R
USC00093325        1057R
USC00093386        1153R
USC00093465        1032S
USC00093538        1068S
USC00093570        1361R
USC00093578        1380Q
USC00093621        1493C
USC00093658        1375Q
USC00093695        1214S
USC00093754        1104S
USC00094133        1345R
USC00094170        1264R
USC00094204        1192Q
USC00094230        1929R
USC00094429        1202S
USC00094594        1278R
USC00094648        1552S
USC00094674        1085R
USC00094700        1309S
USC00094728        1300S
USC00094862        1237Q
USC00094941        1664R
USC00094949        1471R
USC00095061        1340Q
USC00095204        1211R
USC00095314        1194C
USC00095394        1269R
USC00095401        1167Q
USC00095404        1428R
USC00095666        1339Q
USC00095811        1122R
USC00095858        1236R
