AQC00914000        3963R
USC00030746        1015C
USC00030764        1179S
USC00030798         996C
USC00030806        1053S
USC00030814        1166R
USC00030832        1045S
USC00030936         895S
USC00031102         994S
USC00031132        1019S
USC00031140        1080R
USC00031152        1093S
USC00031191        1097Q
USC00031310        1072R
USC00031328        1044Q
USC00031442         996R
USC00031455         993R
USC00031457        1096R
USC00031459        1149R
USC00031492        1069S
USC00031508        1210R
USC00031596        1008S
USC00031632         989S
USC00031666        1139C
USC00031730        1191S
USC00031750        1094S
USC00031829        1060S
USC00031834        1046S
USC00031900        1124C
USC00031948        1059S
USC00031962         997C
USC00031968         872S
USC00031980        1155Q
USC00032015        1158S
USC00032020        1179Q
USC00032148         933C
USC00032355        1149S
USC00032356        1145S
USC00032366        1041S
USC00032444        1104R
USC00032475        1132R
USC00032540        1139S
USC00032670        1123R
USC00032700         944Q
USC00032760         891S
USC00032794        1012C
USC00032842        1192S
USC00032922        1174C
USC00032930        1141S
USC00032946        1132R
USC00032962         974R
USC00032978        1012S
USC00033019         952Q
USC00033132        1039R
USC00033164        1162Q
USC00033200        1064Q
USC00033242        1031S
USC00033361        1335Q
USC00033428        1130S
USC00033438        1188S
USC00033442        1112S
USC00033466        1199S
USC00033544        1117R
USC00033704        1236S
USC00033734         944R
USC00033821        1039S
USC00033862         923C
USC00033910        1138Q
USC00034010         913S
USC00034106        1096S
USC00034134        1066R
USC00034185        1193R
USC00034290        1059Q
USC00034528         979S
USC00034548        1069S
USC00034562        1155R
USC00034572        1005R
USC00034638        1033S
USC00034666         903R
USC00034746        1052S
USC00034756        1251S
USC00034777        1163Q
USC00034839        1129Q
USC00034936        1137Q
USC00034938         998S
USC00034988        1112S
USC00035018        1153R
USC00035036        1037C
USC00035046        1124R
USC00035079        1181S
USC00035112        1131C
USC00035160        1118S
USC00035177        1132R
USC00035186        1004S
USC00035200        1114S
USC00035354        1231S
USC00035358        1181S
USC00035498        1167R
USC00035508        1109R
USC00035512        1127R
USC00035563        1054S
USC00035591        1079S
USC00035691        1034S
USC00035754        1087S
USC00035760        1249C
USC00035820         973S
USC00035831        1049Q
USC00035866        1104S
USC00035900        1171Q
USC00035908        1124S
USC00036008         991S
USC00036174        1126Q
USC00036253         992S
USC00036376         944R
USC00036380         918S
USC00036393        1217R
USC00036403         988S
USC00036506         931S
USC00036562        1072S
USC00036768        1093R
USC00036918         913S
USC00036920         933C
USC00036928        1077S
USC00037038        1218R
USC00037383        1230R
USC00037488        1128S
USC00037582        1146S
USC00037653        1126Q
USC00037712        1039S
USC00038010        1068Q
USC00038052         888R
USC00040010          19P
USC00040014          20R
USC00040029         155R
USC00040136          53S
USC00040144          36S
USC00040161         136S
USC00040192          14R
USC00040212          36C
USC00040232          11S
USC00040235          99R
USC00040343          54S
USC00040379          43S
USC00040383          44R
USC00040436          85R
USC00040444          17Q
USC00040449          64R
USC00040521          62S
USC00040673          30S
USC00040684         102R
USC00040693          22S
USC00040738         102R
USC00040741         183S
USC00040755          77Q
USC00040779          62R
USC00040790          31S
USC00040798          33R
USC00040819         123R
USC00040850          40R
USC00040924          64S
USC00040931         137R
USC00040943         193S
USC00040983          76S
USC00041010         111R
USC00041018         145Q
USC00041048          29R
USC00041072         107R
USC00041080         155R
USC00041130         112Q
USC00041149         223S
USC00041159         140S
USC00041214         132R
USC00041244          10C
USC00041253           9S
USC00041277         102S
USC00041288          41S
USC00041312          30S
USC00041316         154C
USC00041428          34S
USC00041484          14R
USC00041497         107S
USC00041534          17Q
USC00041606         191R
USC00041614         113S
USC00041680          17Q
USC00041697         101C
USC00041700         128R
USC00041715          58S
USC00041738          83Q
USC00041758          11S
USC00041806          34S
USC00041838          31R
USC00041864          10S
USC00041878          35R
USC00041907         105S
USC00041912          76S
USC00041916          77S
USC00041948          35S
USC00041967          13P
USC00041990         172S
USC00042012           6S
USC00042081          71S
USC00042090          21R
USC00042147         293S
USC00042198          75R
USC00042214           8S
USC00042239         143S
USC00042294          25S
USC00042319          25S
USC00042327         117S
USC00042331         188R
USC00042346          11S
USC00042402         110S
USC00042406         107R
USC00042410          90Q
USC00042456          85P
USC00042467         134S
USC00042494          18R
USC00042500         132S
USC00042504         109S
USC00042506         127C
USC00042574         168S
USC00042598          95S
USC00042640          42R
USC00042671         266R
USC00042706          23S
USC00042709          20R
USC00042713          33S
USC00042728          42R
USC00042756         200R
USC00042760          23R
USC00042771          55S
USC00042805          24S
USC00042863          28R
USC00042920          25S
USC00042934          21S
USC00042941          23S
USC00042964         160Q
USC00043038          57S
USC00043083          19R
USC00043134          89S
USC00043157         140S
USC00043161         102R
USC00043191          51Q
USC00043244          14P
USC00043256          29Q
USC00043261          23S
USC00043357         285S
USC00043369         191R
USC00043384          82Q
USC00043392          21Q
USC00043402           3S
USC00043417          15R
USC00043452          36S
USC00043463          35S
USC00043489          82R
USC00043491          93S
USC00043498          75R
USC00043551          89S
USC00043573          79S
USC00043578          39C
USC00043614         115R
USC00043647         120S
USC00043669          66Q
USC00043672          46R
USC00043710          79S
USC00043714          65R
USC00043747          15S
USC00043800          55S
USC00043824         107S
USC00043855          89S
USC00043875          30S
USC00043878          30P
USC00043882          16Q
USC00043896          50S
USC00043914          90S
USC00043939         112S
USC00044025           8S
USC00044176         132S
USC00044211         161R
USC00044223          33S
USC00044232          40S
USC00044259          59P
USC00044278          46S
USC00044288          92R
USC00044297          70S
USC00044303          22Q
USC00044374         249S
USC00044405          83Q
USC00044412          76Q
USC00044422          13S
USC00044484          67R
USC00044500          31S
USC00044523          45S
USC00044534          13Q
USC00044536           9R
USC00044555           7S
USC00044577         290R
USC00044628          42R
USC00044647          20S
USC00044671          56S
USC00044705         149R
USC00044710          24S
USC00044712          16S
USC00044713         166R
USC00044735          15R
USC00044838         222S
USC00044863          17S
USC00044867          20R
USC00044881         127R
USC00044890          21S
USC00044957          15S
USC00044997          14S
USC00045026         156S
USC00045032          17S
USC00045064           8S
USC00045107           9R
USC00045118          10S
USC00045119          14S
USC00045120          31S
USC00045123          13S
USC00045147          10R
USC00045218          33R
USC00045233          12S
USC00045311         214S
USC00045352          30R
USC00045356         150R
USC00045360          19S
USC00045378          18C
USC00045385          26P
USC00045400          84S
USC00045449         157S
USC00045502          34S
USC00045532          11S
USC00045598          34R
USC00045679         174S
USC00045721         248S
USC00045756          64S
USC00045790          10S
USC00045795          32C
USC00045802          19R
USC00045866          14S
USC00045890         203R
USC00045892         335Q
USC00045915          24S
USC00045933          33S
USC00046006          51S
USC00046027          55S
USC00046074          28S
USC00046136         101S
USC00046144          14S
USC00046154          19R
USC00046161           2P
USC00046162          11R
USC00046168           6S
USC00046174          35R
USC00046175          11S
USC00046194          26S
USC00046197          47S
USC00046252          62Q
USC00046263          20P
USC00046328         187Q
USC00046329         155R
USC00046336          18S
USC00046370          58S
USC00046377          15S
USC00046386         144Q
USC00046390          68R
USC00046399          18S
USC00046498         235R
USC00046506          53S
USC00046508         141S
USC00046521          49R
USC00046569          32R
USC00046572           8R
USC00046597          89S
USC00046599          50R
USC00046602          36S
USC00046610          11S
USC00046624          21S
USC00046635          45S
USC00046646          12R
USC00046650          29R
USC00046657         131S
USC00046663          14R
USC00046675          11S
USC00046685          95S
USC00046699         103S
USC00046719          38S
USC00046726          69R
USC00046730           8S
USC00046773          41R
USC00046826          24S
USC00046896          30C
USC00046926          15S
USC00046940          12R
USC00046943          17R
USC00046944         100R
USC00046946         185C
USC00046960          56S
USC00047050          12P
USC00047077          14R
USC00047085         108S
USC00047109          57S
USC00047111          22S
USC00047150          15S
USC00047195         125Q
USC00047228          25R
USC00047253          40S
USC00047293         103Q
USC00047298         127Q
USC00047306          31S
USC00047339          15S
USC00047370          31S
USC00047404         101S
USC00047414          26S
USC00047470          23S
USC00047473          22S
USC00047581         162S
USC00047641         132R
USC00047643          21R
USC00047668          13S
USC00047672          10S
USC00047681          11S
USC00047689         100R
USC00047723          23R
USC00047731          14C
USC00047741          21Q
USC00047749          14S
USC00047767          27R
USC00047776          44S
USC00047779          48R
USC00047785          26S
USC00047807          56S
USC00047813          44R
USC00047821          14S
USC00047836          24Q
USC00047846          13S
USC00047851          16S
USC00047874          22S
USC00047880          19R
USC00047888          16S
USC00047902          16S
USC00047916          24C
USC00047933          17S
USC00047953           9S
USC00047957          12R
USC00047965          31S
USC00048014          24S
USC00048025         195Q
USC00048045         101S
USC00048135         182S
USC00048163         218R
USC00048200          62R
USC00048207         141R
USC00048273          45Q
USC00048317          41R
USC00048351          28S
USC00048353          44R
USC00048380          73S
USC00048406         171R
USC00048490         135R
USC00048560          12S
USC00048580          53R
USC00048587          65S
USC00048606         139S
USC00048655          30R
USC00048702          78R
USC00048713          43Q
USC00048752          11R
USC00048758         125S
USC00048826          43R
USC00048829          45Q
USC00048839          24S
USC00048873         117R
USC00048904          14Q
USC00048917          42S
USC00048928          59R
USC00048967          15R
USC00048999          16Q
USC00049001          13S
USC00049026         119S
USC00049035          41S
USC00049043         144S
USC00049053         148S
USC00049073           7S
USC00049087          17R
USC00049099         130S
USC00049105         203R
USC00049111          12R
USC00049122          48S
USC00049124          63R
USC00049152          18C
USC00049185          27S
USC00049200          16S
USC00049273          38Q
USC00049285           7P
USC00049325          44S
USC00049345          18R
USC00049351         120C
USC00049367          16S
USC00049378          21S
USC00049390         144S
USC00049431          26R
USC00049440          34R
USC00049452          16S
USC00049473          14S
USC00049490         123S
USC00049582          56S
USC00049621         156S
USC00049660          13S
USC00049671         112R
USC00049677          63Q
USC00049684          67R
USC00049694         147Q
USC00049699          58Q
USC00049742          16C
USC00049781          23S
USC00049785          18Q
USC00049792          22R
USC00049822         109R
USC00049847          18Q
USC00049855         114R
USC00049859          22Q
USC00049866         183S
USC00050102         793R
USC00050105        1026R
USC00050109         755S
USC00050128         352Q
USC00050214         405S
USC00050263         556S
USC00050304         861R
USC00050306         869Q
USC00050372         489C
USC00050454         751C
USC00050754         544Q
USC00050776         377R
USC00050797         312S
USC00050825         572Q
USC00050834         778R
USC00050839         601Q
USC00050848         583S
USC00050895         781R
USC00050909         592S
USC00050945         632S
USC00050950         549R
USC00051017         199R
USC00051018         267Q
USC00051060         738R
USC00051071         445S
USC00051121         816R
USC00051179         645S
USC00051186         764S
USC00051268         813S
USC00051294         532S
USC00051401         722R
USC00051440         308R
USC00051443         353Q
USC00051458         301S
USC00051528         747S
USC00051539         598R
USC00051564         843S
USC00051609         356S
USC00051660         626S
USC00051681         753R
USC00051713         394S
USC00051741         332R
USC00051743         373Q
USC00051772         265S
USC00051886         316S
USC00051932         372S
USC00051939         586R
USC00051959         544S
USC00051964         548S
USC00051996         838R
USC00052184         419S
USC00052192         235R
USC00052196         263Q
USC00052213         605Q
USC00052223         606Q
USC00052281         510S
USC00052286         263S
USC00052326         389R
USC00052342         318Q
USC00052441         504R
USC00052446         719R
USC00052494         942C
USC00052631         886R
USC00052759         626R
USC00052761         612Q
USC00052790         679R
USC00052816         616Q
USC00052932         868R
USC00052934         601Q
USC00052944         814R
USC00052947         800R
USC00052965         813Q
USC00053005         548C
USC00053006         462R
USC00053016         507R
USC00053038         659R
USC00053063        1026R
USC00053079         545C
USC00053116         493R
USC00053146         216R
USC00053246         328R
USC00053258         829R
USC00053261         626R
USC00053307         273Q
USC00053359         341R
USC00053387         630Q
USC00053446         546Q
USC00053489         209S
USC00053496         582S
USC00053500         473S
USC00053530         661R
USC00053541         473S
USC00053553         507S
USC00053592         390R
USC00053629         675S
USC00053652         824Q
USC00053656         800R
USC00053662         367R
USC00053738         428R
USC00053828         717S
USC00053867         396C
USC00053951         557S
USC00054054         479R
USC00054076         873S
USC00054082         815S
USC00054135         442R
USC00054172         847R
USC00054242         906R
USC00054254         469Q
USC00054293         708S
USC00054380         787R
USC00054388         661R
USC00054413         809R
USC00054444         707C
USC00054452         556S
USC00054538         717R
USC00054546         795R
USC00054603         806R
USC00054606         942R
USC00054664         386S
USC00054724         587R
USC00054726         622S
USC00054734         554S
USC00054742         636S
USC00054762         612R
USC00054770         726C
USC00054834         580S
USC00054934         833S
USC00054945         807S
USC00055020         783Q
USC00055025         761R
USC00055116         459R
USC00055236         479R
USC00055322         331R
USC00055327         427R
USC00055402         661Q
USC00055414         553R
USC00055422         310R
USC00055427         818Q
USC00055446         297R
USC00055484         404R
USC00055507         497R
USC00055531         434S
USC00055706         375R
USC00055722         277S
USC00055734         805R
USC00055795         775Q
USC00055797         891R
USC00055922         728R
USC00055934         701R
USC00055970         334R
USC00055984         507R
USC00056012         495S
USC00056023         588R
USC00056131         541R
USC00056136         609S
USC00056203         572R
USC00056205         666Q
USC00056258         546R
USC00056259         617Q
USC00056266         240S
USC00056306         301S
USC00056318         375R
USC00056320         317Q
USC00056323         717Q
USC00056326         728R
USC00056524         565R
USC00056765         581S
USC00056797         512R
USC00056816         559S
USC00056832         278S
USC00056977         553R
USC00057017         669R
USC00057020         528S
USC00057031         306R
USC00057050         633S
USC00057167         546S
USC00057249         714Q
USC00057287         757S
USC00057296         508R
USC00057309        1049C
USC00057317         921R
USC00057337         376R
USC00057370         384R
USC00057430         419R
USC00057450         634Q
USC00057460         437S
USC00057510         614S
USC00057515         796S
USC00057519         964Q
USC00057560         783R
USC00057572         553R
USC00057582         770Q
USC00057618         429R
USC00057656         707S
USC00057816         603R
USC00057848         426R
USC00057866         730R
USC00057936         489R
USC00057950         727R
USC00057992         843R
USC00058008         848R
USC00058022         674R
USC00058064         532R
USC00058157         604S
USC00058184         497S
USC00058204         651S
USC00058290         523R
USC00058429         707S
USC00058436         783R
USC00058501         415R
USC00058560         318C
USC00058575         533R
USC00058582         730S
USC00058613         833Q
USC00058690         623R
USC00058756         392S
USC00058781         589S
USC00058793         915S
USC00058839         551S
USC00058860         411Q
USC00058931         575R
USC00058995         574S
USC00059058         782Q
USC00059096         443S
USC00059175         593S
USC00059181        1020R
USC00059213         711R
USC00059216         904R
USC00059243         801S
USC00059265         460S
USC00059275         379R
USC00059278         376Q
USC00059295         817R
USC00059297         811R
USC00060128        1244R
USC00060227        1353R
USC00060299        1321S
USC00060808        1310Q
USC00060961        1379R
USC00060973        1411S
USC00061762        1428R
USC00062169        1199R
USC00062658        1342S
USC00063207        1200S
USC00063420        1279Q
USC00063857        1197R
USC00064488        1254R
USC00064767        1336R
USC00065077        1329R
USC00065445        1418S
USC00065910        1304S
USC00066655        1284R
USC00066966        1322R
USC00067002        1408R
USC00067157        1325R
USC00067373        1414R
USC00067432        1352R
USC00067958        1224Q
USC00067959        1293R
USC00067970        1288R
USC00068065        1298R
USC00068138        1221R
USC00068436        1265R
USC00069162        1594R
USC00069388        1327R
USC00069568        1365R
USC00069775        1396S
USC00071200        1225Q
USC00072730        1245C
USC00073570        1263R
USC00073595        1205R
USC00075320        1290S
USC00076410        1279R
USC00079605        1322C
USC00080228        2480R
USC00080236        2471C
USC00080369        2345S
USC00080390        2426R
USC00080414        1698Q
USC00080478        2424S
USC00080598        2174Q
USC00080611        2326R
USC00080735        2583Q
USC00080737        2770Q
USC00080945        2726S
USC00080992        2251Q
USC00081022        2389Q
USC00081046        2369S
USC00081276        2223S
USC00081306        2185Q
USC00081544        1895S
USC00081641        2308R
USC00081651        2411Q
USC00081654        2334R
USC00081795        1408R
USC00081800        2635Q
USC00081978        2000R
USC00082008        2554R
USC00082046        1630Q
USC00082150        1955Q
USC00082220        2063R
USC00082229        2430S
USC00082288        2306S
USC00082298        2669S
USC00082391        2210Q
USC00082418        1057R
USC00082441        1390R
USC00082850        2867R
USC00082915        1944R
USC00082944        1661S
USC00083020        2065R
USC00083026        2309Q
USC00083163        2522S
USC00083168        2359Q
USC00083207        1925S
USC00083322        2126R
USC00083470        2043R
USC00083874        1956S
USC00083909        2833R
USC00083956        2142S
USC00083986        2340R
USC00084050        2473Q
USC00084095        2543R
USC00084210        2293R
USC00084289        2359S
USC00084320        1876Q
USC00084366        1717S
USC00084394        1845S
USC00084412        2029Q
USC00084461        2288Q
USC00084625        2299R
USC00084662        2487Q
USC00084707        2317R
USC00084731        2111S
USC00084802        2401R
USC00085076        2018S
USC00085099        1861S
USC00085184        2365R
USC00085275        1847S
USC00085359        2553Q
USC00085539        2210S
USC00085667        2797R
USC00085793        2224R
USC00085879        1961R
USC00085895        2222S
USC00085973        2224S
USC00086065        2896S
USC00086078        2709S
USC00086129        1927Q
USC00086240        2343S
USC00086315        2645Q
USC00086406        2807S
USC00086414        2066S
USC00086485        1980R
USC00086618        2232R
USC00086657        2648Q
USC00086764        2211Q
USC00086767        1906Q
USC00086828        2203Q
USC00086842        2053C
USC00086880        2442S
USC00087020        2657R
USC00087025        2259S
USC00087205        2454S
USC00087228        2247Q
USC00087261        1889Q
USC00087304        2401Q
USC00087397        2515S
USC00087429        2006R
USC00087760        2399S
USC00087826        1712S
USC00087851        2352C
USC00087869        1984Q
USC00087982        2333R
USC00088076        2216Q
USC00088368        2368Q
USC00088529        1972Q
USC00088565        2698R
USC00088620        2241R
USC00088756        2222Q
USC00088780        2489R
USC00088824        2310S
USC00088841        1605R
USC00088942        2138S
USC00089120        2575S
USC00089176        2260S
USC00089219        2119R
USC00089401        2381S
USC00089511        2496Q
USC00089566        2296S
USC00089707        2360R
USC00089795        1908Q
USC00090010        1209S
USC00090044        1198R
USC00090140        1609S
USC00090181        1311Q
USC00090219        1351R
USC00090253        1321R
USC00090406        1465R
USC00090441        2100R
USC00090444        1399S
USC00090586        1613R
USC00090603        1353R
USC00090670        1727Q
USC00090746        1339R
USC00090969        1404S
USC00090979        1378R
USC00091132        1246R
USC00091266        1601R
USC00091340        1754S
USC00091372        1375S
USC00091425        1335R
USC00091448        1261R
USC00091463        1587R
USC00091474        1250R
USC00091500        1633S
USC00091585        1321C
USC00091619        1283R
USC00091640        1209S
USC00091657        1328R
USC00091665        1101R
USC00091670        1275S
USC00091732        1270S
USC00091863        1363S
USC00091906         979R
USC00091908        1242Q
USC00091965        1548R
USC00091973        1521R
USC00091982        1741S
USC00092006        1493S
USC00092055        1497R
USC00092159        1298Q
USC00092180        1273S
USC00092266        1252S
USC00092283        1450C
USC00092318        1293R
USC00092361        1349S
USC00092408        1322R
USC00092429        1194R
USC00092450        1628S
USC00092475        1446R
USC00092485        1352S
USC00092493        1391R
USC00092517        1146R
USC00092532        1374R
USC00092570        1489R
USC00092578        1411R
USC00092716        1631R
USC00092738        1759Q
USC00092791        1420R
USC00092839        1452S
USC00092966        1383S
USC00093060        1326C
USC00093115        1397C
USC00093147        1307C
USC00093271        1264R
USC00093325        1748R
USC00093386        1437R
USC00093465        2050S
USC00093538        1782S
USC00093570        1341R
USC00093578        1518Q
USC00093621        1274S
USC00093658        1469Q
USC00093695        1259C
USC00093754        1647R
USC00094133        1184R
USC00094170        1273R
USC00094204        1607Q
USC00094230        1655R
USC00094429        1828S
USC00094594        1181R
USC00094648        1470S
USC00094674        1634R
USC00094700        1281S
USC00094728        1234S
USC00094862        1488Q
USC00094941        1309R
USC00094949        1355R
USC00095061        1502Q
USC00095204        1239R
USC00095314        1295S
USC00095394        1456R
USC00095401        1883Q
USC00095404        1468R
USC00095666        1294Q
USC00095811        1847R
USC00095858        1410R
USC00095863        1319S
USC00095874        1283R
USC00095882        1347R
USC00095979        1270S
USC00095988        1219S
USC00096043        1540S
USC00096087        1563S
USC00096093        1670Q
USC00096148        1254Q
USC00096219        1922Q
USC00096244        1589Q
USC00096335        1321R
